Experiment,Optimizer,Learning_Rate,Batch_Size,Accuracy,Precision,Recall,F1,Execution_Time,Fold_Number
4,SGD,0.1,32,0.7857142857142857,0.79663159809153,0.80722785179197,0.7913025010900621,367.1563456058502,4
31,SGD,0.001,32,0.9714285714285714,0.9687727616299042,0.9726177508040253,0.969731164880015,375.6792142391205,1
48,SGD,0.0001,32,0.9666666666666667,0.9670016693546105,0.9669125508134797,0.9662001626943015,365.4795536994934,3
47,SGD,0.0001,32,0.9619047619047619,0.9591828145399572,0.9607793522267207,0.958812962005546,372.65467834472656,2
58,AdamW,0.0001,32,0.9761904761904762,0.9770494056208341,0.9830659536541889,0.9767960580632201,369.1913332939148,3
10,Adam,0.1,32,0.6476190476190476,0.6705026755094861,0.6753824118559486,0.6611203238053254,392.2238323688507,5
55,Adam,0.0001,32,0.95,0.9551783934185591,0.9524856904368664,0.9512521988424545,368.48269629478455,5
60,AdamW,0.0001,32,0.9785714285714285,0.9816378016585057,0.9802210161453859,0.9800777526086222,370.95197200775146,5
59,AdamW,0.0001,32,0.9857142857142858,0.9864836250705815,0.9861679996255565,0.9860251323392861,402.7616136074066,4
51,Adam,0.0001,32,0.9785714285714285,0.9752790004890844,0.9787497124453646,0.9748721541217537,387.3328471183777,1
41,AdamW,0.001,32,0.9380952380952381,0.9335568373155146,0.9391260308837339,0.9332263355785131,429.9142165184021,1
33,SGD,0.001,32,0.9809523809523809,0.9836790660320072,0.9831048581048581,0.9819917408633992,447.484575510025,3
28,AdamW,0.01,32,0.7666666666666667,0.7740571081647077,0.7711119018256587,0.761307060199078,449.0699288845062,3
57,AdamW,0.0001,32,0.9714285714285714,0.9702647220504362,0.9701886384431142,0.9695898351870292,409.5818772315979,2
39,Adam,0.001,32,0.9547619047619048,0.9542648811830396,0.9641123882503193,0.9573720225912892,454.36532330513,4
56,AdamW,0.0001,32,0.9619047619047619,0.9581985934470406,0.9648745414856719,0.956791906457909,435.89068722724915,1
49,SGD,0.0001,32,0.9642857142857143,0.9645653598871843,0.967148056229231,0.9654058053437822,352.33116722106934,4
14,AdamW,0.1,32,0.6452380952380953,0.6463404596887119,0.6925137286498171,0.6434092907428922,509.34595918655396,4
5,SGD,0.1,32,0.75,0.7697580727966475,0.757604216620876,0.7572471609642407,516.3994245529175,5
29,AdamW,0.01,32,0.7,0.7001854167902761,0.7188368188001822,0.6807501091353327,519.3402416706085,4
7,Adam,0.1,32,0.7119047619047619,0.699127539373006,0.7298627574985029,0.6947475854321612,516.3249614238739,2
9,Adam,0.1,32,0.6547619047619048,0.6718658919149115,0.6864235544077391,0.6543522579022686,518.9427547454834,4
46,SGD,0.0001,32,0.9595238095238096,0.9568218167079452,0.9615198760156745,0.9557144946595004,514.7852582931519,1
35,SGD,0.001,32,0.9785714285714285,0.9799175402850351,0.9807888109130344,0.9798486131895746,523.7973234653473,5
15,AdamW,0.1,32,0.5238095238095238,0.5469576904334995,0.6903987184452021,0.5126794032499971,525.6176280975342,5
54,Adam,0.0001,32,0.9809523809523809,0.9817204234936545,0.9826046968904111,0.9817328090937258,521.9360885620117,4
23,Adam,0.01,32,0.7714285714285715,0.7794026400803895,0.7646260723719585,0.7617343605158617,529.1948454380035,3
34,SGD,0.001,32,0.9714285714285714,0.9720381103693124,0.972807139949997,0.9715771106023415,531.4980456829071,4
21,Adam,0.01,32,0.7833333333333333,0.7736578513706756,0.8152961612262037,0.7737051376210002,534.2250044345856,1
24,Adam,0.01,32,0.780952380952381,0.7861253433504073,0.7860969390212121,0.7782645649701182,535.3490443229675,4
26,AdamW,0.01,32,0.7952380952380952,0.7826921019300144,0.7912719140737717,0.7736375770336194,540.4708595275879,1
22,Adam,0.01,32,0.7357142857142858,0.7294733112100059,0.735076082728622,0.7195545089198708,540.1481881141663,2
36,Adam,0.001,32,0.9404761904761905,0.9370077126151293,0.9408680758596495,0.9348153164317049,541.9328587055206,1
37,Adam,0.001,32,0.919047619047619,0.9131177622564176,0.9174900208871966,0.9104825674950747,549.4350700378418,2
27,AdamW,0.01,32,0.7214285714285714,0.7078012810653236,0.7320589594723826,0.6982839222667242,556.5530679225922,2
12,AdamW,0.1,32,0.48095238095238096,0.46336258692738125,0.5297840248427456,0.42048564956796664,556.2138376235962,2
16,SGD,0.01,32,0.9785714285714285,0.9763602410661233,0.9782887774993038,0.9757231870708358,563.9233660697937,1
19,SGD,0.01,32,0.9809523809523809,0.9824237995593496,0.9845175107079869,0.9830043036920199,576.5728809833527,4
8,Adam,0.1,32,0.7261904761904762,0.7327621709472276,0.7412370589261345,0.7172349644946178,577.5278656482697,3
52,Adam,0.0001,32,0.9738095238095238,0.9714938500652786,0.9723484049859762,0.9710227410418155,390.2341904640198,2
25,Adam,0.01,32,0.7428571428571429,0.7644316731924338,0.7862332385455586,0.7531281556938757,583.1825921535492,5
42,AdamW,0.001,32,0.95,0.9469550951693809,0.9493450595355526,0.9469595990940879,578.5715253353119,2
44,AdamW,0.001,32,0.9119047619047619,0.9149578771296587,0.9177771832730068,0.9141018748511549,582.8568184375763,4
2,SGD,0.1,32,0.7261904761904762,0.71745230362214,0.7284955492281031,0.7137749916993352,597.2673242092133,2
30,AdamW,0.01,32,0.7357142857142858,0.746503145503091,0.7970679041282613,0.7462379616678353,596.5991196632385,5
13,AdamW,0.1,32,0.6142857142857143,0.6225877776197469,0.6674583077058485,0.5908704315987107,614.5939066410065,3
50,SGD,0.0001,32,0.9642857142857143,0.9674705324964123,0.9683390022675736,0.9666735166690766,401.95861196517944,5
40,Adam,0.001,32,0.830952380952381,0.8359120100898461,0.8384237804638071,0.8238883079940762,629.6289205551147,5
11,AdamW,0.1,32,0.6666666666666666,0.6534734890431517,0.6906321484666683,0.6524006332669839,660.4523849487305,1
18,SGD,0.01,32,0.9880952380952381,0.9899567099567099,0.9875541125541125,0.988246387574867,681.4913384914398,3
53,Adam,0.0001,32,0.9714285714285714,0.9755783898641042,0.9712065546464523,0.9730002424552505,449.12483382225037,3
3,SGD,0.1,32,0.7833333333333333,0.7790036456121585,0.7973099674854061,0.7774114444458545,682.4555625915527,3
43,AdamW,0.001,32,0.8666666666666667,0.874366327254526,0.8845029492377561,0.8674670908190133,740.4448411464691,3
38,Adam,0.001,32,0.9261904761904762,0.9348156565082031,0.9245093459289988,0.9266969146039481,696.46661901474,3
6,Adam,0.1,32,0.6833333333333333,0.6707170925643097,0.7158181279243826,0.667525237001659,731.9631607532501,1
17,SGD,0.01,32,0.9833333333333333,0.9812822098536385,0.9807486631016042,0.9808950046613121,756.1761181354523,2
32,SGD,0.001,32,0.9809523809523809,0.9798374905517763,0.9799379831637897,0.9787780644915329,757.8056211471558,2
45,AdamW,0.001,32,0.9285714285714286,0.9317145392393297,0.9282770744142835,0.9270381348010913,4527.420275688171,5
